BEGIN_YEARMONTH,STATE_FIPS,BEGIN_TIME,TOR_F_SCALE,STATE,CZ_NAME,TOR_LENGTH,TOR_WIDTH
195006,56.0,1600,F1,WYOMING,WESTON,0.2,10.0
195001,29.0,1930,F2,MISSOURI,IRON,2.3,300.0
195005,20.0,2117,F1,KANSAS,CLOUD,0.0,33.0
195005,13.0,1400,F1,GEORGIA,WHITFIELD,0.5,7.0
195006,13.0,600,F0,GEORGIA,CARROLL,2.0,200.0
195006,13.0,800,F1,GEORGIA,DE KALB,3.3,7.0
195006,13.0,1730,F1,GEORGIA,LAMAR,2.0,300.0
195008,20.0,1800,F2,KANSAS,FINNEY,0.0,33.0
195008,20.0,1830,F2,KANSAS,GOVE,8.7,33.0
195008,20.0,1450,F1,KANSAS,HASKELL,7.2,33.0
195005,20.0,2130,F1,KANSAS,REPUBLIC,0.0,33.0
195005,20.0,1,0,KANSAS,RILEY,0.0,33.0
195005,20.0,1800,F2,KANSAS,KINGMAN,0.2,200.0
195005,20.0,1900,F0,KANSAS,JEWELL,0.0,33.0
195005,20.0,1900,F3,KANSAS,CHASE,14.9,100.0
195005,20.0,130,F0,KANSAS,BUTLER,0.1,33.0
195005,20.0,1800,F0,KANSAS,PHILLIPS,0.2,250.0
195005,20.0,1330,F2,KANSAS,COMANCHE,3.6,77.0
195005,20.0,1730,F1,KANSAS,RILEY,10.7,40.0
195006,20.0,2010,F4,KANSAS,RICE,0.0,700.0
195006,20.0,2015,F4,KANSAS,MCPHERSON,17.1,700.0
195006,55.0,1920,0,WISCONSIN,RUSK,0.5,33.0
195006,55.0,2030,F2,WISCONSIN,PRICE,8.4,33.0
195006,55.0,2100,F2,WISCONSIN,CLARK,5.1,17.0
195006,55.0,2100,F4,WISCONSIN,ONEIDA,13.1,880.0
195006,55.0,2110,F2,WISCONSIN,MARATHON,2.7,17.0
195006,55.0,2330,F3,WISCONSIN,GREEN LAKE,0.0,300.0
195001,17.0,1110,F3,ILLINOIS,MADISON,3.3,100.0
195001,17.0,1155,F3,ILLINOIS,MONTGOMERY,3.6,130.0
195001,17.0,2100,F2,ILLINOIS,KANKAKEE,0.0,100.0
195003,17.0,1630,F2,ILLINOIS,MCLEAN,3.0,50.0
195006,20.0,1530,F1,KANSAS,WICHITA,29.9,33.0
195006,20.0,1845,F0,KANSAS,SEDGWICK,0.1,33.0
195006,20.0,2100,F0,KANSAS,GRAHAM,0.1,33.0
195007,20.0,1200,F1,KANSAS,RILEY,0.0,33.0
195007,20.0,1200,F2,KANSAS,DICKINSON,0.0,33.0
195002,47.0,100,F1,TENNESSEE,SHELBY,0.2,7.0
195002,47.0,200,F2,TENNESSEE,LAUDERDALE,0.2,7.0
195003,47.0,1500,F1,TENNESSEE,WARREN,0.2,7.0
195003,22.0,600,F1,LOUISIANA,EAST CARROLL,15.3,17.0
195003,22.0,830,F1,LOUISIANA,EAST FELICIANA,0.5,27.0
195004,22.0,745,F1,LOUISIANA,ASCENSION,2.0,100.0
195005,22.0,100,F1,LOUISIANA,NATCHITOCHES,2.0,100.0
195005,22.0,1030,F1,LOUISIANA,WINN,15.4,150.0
195005,22.0,1125,F2,LOUISIANA,NATCHITOCHES,3.6,100.0
195005,22.0,1130,F0,LOUISIANA,LA SALLE,1.0,100.0
195005,22.0,1130,F1,LOUISIANA,CONCORDIA,1.0,100.0
195005,22.0,200,F1,LOUISIANA,GRANT,5.2,150.0
195005,22.0,200,F1,LOUISIANA,WINN,27.6,150.0
195005,22.0,300,F2,LOUISIANA,CATAHOULA,2.0,100.0
195005,22.0,1130,F1,LOUISIANA,AVOYELLES,2.0,27.0
195005,22.0,2300,F1,LOUISIANA,DE SOTO,1.0,27.0
195005,22.0,2300,F1,LOUISIANA,SABINE,1.0,27.0
195007,20.0,1630,F1,KANSAS,ALLEN,0.0,33.0
195008,20.0,1500,F1,KANSAS,RAWLINS,0.0,33.0
195007,20.0,1900,F2,KANSAS,SCOTT,1.0,90.0
195007,20.0,2245,F1,KANSAS,MARSHALL,1.0,90.0
195006,17.0,300,F1,ILLINOIS,CARROLL,0.0,33.0
195007,17.0,2215,F1,ILLINOIS,LIVINGSTON,1.0,33.0
195012,17.0,1500,F2,ILLINOIS,MADISON,7.3,50.0
195012,17.0,1515,F2,ILLINOIS,MACOUPIN,11.5,50.0
195012,17.0,1600,F3,ILLINOIS,MADISON,4.7,200.0
195012,17.0,1600,F3,ILLINOIS,BOND,13.3,200.0
195012,17.0,1730,F1,ILLINOIS,RANDOLPH,9.6,50.0
195109,28.0,915,F2,MISSISSIPPI,LOWNDES,0.1,100.0
195106,20.0,2200,F0,KANSAS,GOVE,0.7,33.0
195103,48.0,510,F1,TEXAS,HOUSTON,0.5,17.0
195105,40.0,1830,F1,OKLAHOMA,COTTON,0.0,33.0
195107,40.0,1620,F2,OKLAHOMA,KINGFISHER,0.0,100.0
195105,20.0,1800,F1,KANSAS,WICHITA,0.0,33.0
