BEGIN_YEARMONTH,STATE,EVENT_TYPE,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH
201305,OKLAHOMA,Tornado,EF3,10.5,1150.0
201305,OKLAHOMA,Tornado,EF4,12.5,1500.0
201311,OHIO,Tornado,EF1,0.76,75.0
201311,OHIO,Tornado,EF2,7.04,100.0
201311,OHIO,Tornado,EF1,1.32,100.0
201307,COLORADO,Tornado,EF0,1.09,100.0
201307,COLORADO,Tornado,EF0,1.1,75.0
201311,ILLINOIS,Tornado,EF3,7.77,500.0
201312,ARKANSAS,Tornado,EF0,1.48,150.0
201311,INDIANA,Tornado,EF2,0.48,75.0
201301,GEORGIA,Tornado,EF0,1.19,25.0
201301,GEORGIA,Tornado,EF0,1.51,25.0
201311,MISSOURI,Tornado,EF0,0.1,50.0
201311,FLORIDA,Tornado,EF0,4.23,50.0
201305,FLORIDA,Tornado,EF0,0.91,200.0
201307,CONNECTICUT,Tornado,EF0,0.86,50.0
201308,KANSAS,Tornado,EF0,0.04,25.0
201310,TEXAS,Tornado,EF0,0.2,25.0
201311,ILLINOIS,Tornado,EF0,1.18,20.0
201311,ILLINOIS,Tornado,EF0,1.87,50.0
201310,TEXAS,Tornado,EF0,0.18,25.0
201307,CONNECTICUT,Tornado,EF1,10.87,100.0
201311,ILLINOIS,Tornado,EF2,8.5,200.0
201301,TEXAS,Tornado,EF0,0.19,325.0
201303,NEBRASKA,Tornado,EF0,0.11,20.0
201304,FLORIDA,Tornado,EF0,1.86,10.0
201302,ARKANSAS,Tornado,EF0,0.01,20.0
201303,GEORGIA,Tornado,EF1,5.85,220.0
201304,COLORADO,Tornado,EF0,0.1,10.0
201305,NEBRASKA,Tornado,EF0,7.38,50.0
201306,NORTH CAROLINA,Tornado,EF1,0.57,50.0
201305,NEBRASKA,Tornado,EF0,5.43,50.0
201301,LOUISIANA,Tornado,EF1,1.35,300.0
201301,LOUISIANA,Tornado,EF1,3.81,300.0
201303,WASHINGTON,Tornado,EF0,0.01,10.0
201303,ALABAMA,Tornado,EF2,5.95,350.0
201302,LOUISIANA,Tornado,EF1,2.43,50.0
201302,MISSISSIPPI,Tornado,EF1,3.11,200.0
201301,LOUISIANA,Tornado,EF1,1.9,300.0
201301,MISSISSIPPI,Tornado,EF1,6.99,300.0
201305,OKLAHOMA,Tornado,EF0,0.1,20.0
201305,OKLAHOMA,Tornado,EF1,0.2,20.0
201301,MISSOURI,Tornado,EF1,1.17,40.0
201302,NORTH CAROLINA,Tornado,EF0,0.49,75.0
201304,SOUTH CAROLINA,Tornado,EF0,0.25,50.0
201305,OKLAHOMA,Tornado,EF0,0.75,150.0
201301,MISSOURI,Tornado,EF0,1.66,30.0
201303,TENNESSEE,Tornado,EF1,1.45,35.0
201303,KENTUCKY,Tornado,EF1,0.36,80.0
201305,OKLAHOMA,Tornado,EF1,2.8,320.0
201305,OKLAHOMA,Tornado,EF1,5.8,500.0
201305,NEBRASKA,Tornado,EF1,0.23,25.0
201305,OKLAHOMA,Tornado,EF0,0.6,100.0
201305,OKLAHOMA,Tornado,EF1,2.1,200.0
201306,MARYLAND,Tornado,EF0,0.5,100.0
201304,NEW YORK,Tornado,EF0,1.99,200.0
201305,IOWA,Tornado,EF1,2.43,100.0
201305,INDIANA,Tornado,EF0,0.15,20.0
201305,TEXAS,Tornado,EF0,1.17,50.0
201305,OKLAHOMA,Tornado,EF1,0.7,320.0
201305,OKLAHOMA,Tornado,EF1,0.2,240.0
201305,OKLAHOMA,Tornado,EF1,1.8,500.0
201305,NEBRASKA,Tornado,EF0,0.01,15.0
201305,NEBRASKA,Tornado,EF1,8.39,150.0
201305,MASSACHUSETTS,Tornado,EF0,0.38,50.0
201305,OKLAHOMA,Tornado,EF1,0.6,220.0
201305,TEXAS,Tornado,EF0,0.4,100.0
201306,NORTH DAKOTA,Tornado,EF0,1.78,20.0
201305,KANSAS,Tornado,EF3,2.33,1000.0
201305,KANSAS,Tornado,EF0,0.38,15.0
201305,NEBRASKA,Tornado,EF0,0.49,25.0
201305,TEXAS,Tornado,EF0,0.3,50.0
201304,NEW YORK,Tornado,EF0,1.21,200.0
201305,INDIANA,Tornado,EF0,1.05,100.0
201305,TEXAS,Tornado,EF0,1.0,175.0
201305,KANSAS,Tornado,EF0,0.01,10.0
201305,TEXAS,Tornado,EF0,0.2,50.0
201305,OKLAHOMA,Tornado,EF1,4.6,350.0
201306,MINNESOTA,Tornado,EF0,0.1,50.0
201305,KANSAS,Tornado,EF1,0.78,40.0
201305,TEXAS,Tornado,EF0,2.06,150.0
201305,OKLAHOMA,Tornado,EF0,0.82,25.0
201306,OHIO,Tornado,EF0,0.25,15.0
201306,OHIO,Tornado,EF0,0.64,80.0
201305,KANSAS,Tornado,EF3,2.18,1580.0
201307,PENNSYLVANIA,Tornado,EF1,2.94,200.0
201305,KANSAS,Tornado,EF0,0.62,75.0
201305,KANSAS,Tornado,EF0,0.66,100.0
201307,KANSAS,Tornado,EF1,0.4,100.0
201305,INDIANA,Tornado,EF0,0.14,20.0
201305,OKLAHOMA,Tornado,EF0,1.77,25.0
201305,INDIANA,Tornado,EF0,0.13,30.0
201305,OKLAHOMA,Tornado,EF0,0.2,50.0
201305,OKLAHOMA,Tornado,EF1,10.9,700.0
201306,OHIO,Tornado,EF0,0.04,25.0
201306,VIRGINIA,Tornado,EF0,6.94,50.0
201305,FLORIDA,Tornado,EF0,0.4,50.0
201305,KANSAS,Tornado,EF0,0.28,75.0
201305,MICHIGAN,Tornado,EF1,5.6,550.0
201305,MICHIGAN,Tornado,EF2,5.1,500.0
201305,NEBRASKA,Tornado,EF0,0.01,15.0
201305,OKLAHOMA,Tornado,EF2,5.0,450.0
201306,OHIO,Tornado,EF1,0.17,75.0
201305,NEBRASKA,Tornado,EF2,4.47,250.0
201305,NEBRASKA,Tornado,EF1,4.34,75.0
201305,IOWA,Tornado,EF0,4.82,10.0
201306,OHIO,Tornado,EF0,0.06,100.0
201306,OHIO,Tornado,EF0,2.32,50.0
201305,TENNESSEE,Tornado,EF1,0.83,250.0
201306,OHIO,Tornado,EF0,0.11,15.0
201305,ILLINOIS,Tornado,EF0,0.57,25.0
201306,NEBRASKA,Tornado,EF0,0.2,35.0
201306,NORTH DAKOTA,Tornado,EF0,0.03,20.0
201306,NORTH DAKOTA,Tornado,EF0,0.26,30.0
201306,NORTH DAKOTA,Tornado,EF0,0.02,20.0
201304,MISSISSIPPI,Tornado,EF2,0.79,75.0
201305,NEBRASKA,Tornado,EF1,15.93,400.0
201305,MICHIGAN,Tornado,EF0,0.74,60.0
201305,MICHIGAN,Tornado,EF0,0.5,100.0
201305,OKLAHOMA,Tornado,EF1,1.4,200.0
201307,WISCONSIN,Tornado,EF0,1.58,100.0
201305,LOUISIANA,Tornado,EF0,0.89,75.0
201305,SOUTH DAKOTA,Tornado,EF0,0.5,25.0
201307,WISCONSIN,Tornado,EF0,4.1,100.0
201307,WISCONSIN,Tornado,EF0,9.52,100.0
201305,MICHIGAN,Tornado,EF1,2.28,400.0
201307,WISCONSIN,Tornado,EF0,0.16,25.0
201305,MICHIGAN,Tornado,EF0,4.29,200.0
201305,SOUTH DAKOTA,Tornado,EF1,0.1,20.0
201305,OKLAHOMA,Tornado,EF1,5.4,500.0
201305,OKLAHOMA,Tornado,EF0,0.1,50.0
201305,OKLAHOMA,Tornado,EF0,0.1,50.0
201305,OKLAHOMA,Tornado,EF0,0.1,50.0
201305,OKLAHOMA,Tornado,EF0,0.1,50.0
201306,MARYLAND,Tornado,EF0,0.25,50.0
201305,ILLINOIS,Tornado,EF0,0.1,50.0
201307,LOUISIANA,Tornado,EF1,9.97,1760.0
201305,OKLAHOMA,Tornado,EF1,1.2,200.0
201305,OKLAHOMA,Tornado,EF0,1.1,310.0
201307,MARYLAND,Tornado,EF0,2.3,75.0
201305,ARKANSAS,Tornado,EF1,1.02,100.0
201306,KENTUCKY,Tornado,EF0,0.1,50.0
201306,OHIO,Tornado,EF1,0.43,50.0
201307,WYOMING,Tornado,EF0,1.25,50.0
201305,OKLAHOMA,Tornado,EF1,2.5,300.0
201305,TEXAS,Tornado,EF0,1.25,25.0
201307,SOUTH CAROLINA,Tornado,EF0,0.01,25.0
201307,NEW YORK,Tornado,EF1,14.0,500.0
201305,ARKANSAS,Tornado,EF1,2.29,200.0
201307,NEW JERSEY,Tornado,EF0,4.77,50.0
201307,NEBRASKA,Tornado,EF0,0.22,75.0
201307,NEBRASKA,Tornado,EF0,0.01,20.0
201307,FLORIDA,Tornado,EF0,0.01,10.0
201307,SOUTH DAKOTA,Tornado,EF0,0.01,10.0
201307,WISCONSIN,Tornado,EF0,0.29,10.0
201310,NEBRASKA,Tornado,EF2,7.29,250.0
201307,MONTANA,Tornado,EF2,22.99,440.0
201307,FLORIDA,Tornado,EF0,0.23,15.0
201307,NEBRASKA,Tornado,EF0,0.1,60.0
201310,NEBRASKA,Tornado,EF2,4.08,300.0
201305,MISSOURI,Tornado,EF3,14.76,950.0
201307,FLORIDA,Tornado,EF0,0.1,10.0
201307,MISSOURI,Tornado,EF0,0.62,50.0
201308,NORTH DAKOTA,Tornado,EF0,2.49,30.0
201301,TENNESSEE,Tornado,EF2,4.27,300.0
201307,NEW YORK,Tornado,EF0,0.28,10.0
201306,ARKANSAS,Tornado,EF0,0.39,25.0
201308,GEORGIA,Tornado,EF1,0.4,15.0
201306,IOWA,Tornado,EF1,6.5,100.0
201306,DELAWARE,Tornado,EF0,0.87,150.0
201307,MINNESOTA,Tornado,EF1,1.86,150.0
201307,MINNESOTA,Tornado,EF1,5.61,150.0
201307,MINNESOTA,Tornado,EF2,16.92,250.0
201310,IOWA,Tornado,EF2,4.89,250.0
201306,WISCONSIN,Tornado,EF1,3.22,125.0
201307,MINNESOTA,Tornado,EF2,4.17,400.0
201306,ILLINOIS,Tornado,EF0,0.63,75.0
201307,NEBRASKA,Tornado,EF0,1.72,50.0
201307,OKLAHOMA,Tornado,EF1,3.5,850.0
201309,FLORIDA,Tornado,EF0,0.07,10.0
201308,KANSAS,Tornado,EF0,0.1,100.0
201307,CONNECTICUT,Tornado,EF0,3.7,150.0
201308,KANSAS,Tornado,EF0,0.1,100.0
201305,TEXAS,Tornado,EF1,3.65,350.0
201307,OHIO,Tornado,EF0,2.25,300.0
201306,KENTUCKY,Tornado,EF2,6.65,300.0
201307,OHIO,Tornado,EF1,11.1,300.0
201307,OHIO,Tornado,EF1,9.06,150.0
201306,ARKANSAS,Tornado,EF1,1.0,250.0
201307,NORTH DAKOTA,Tornado,EF0,1.84,50.0
201305,OKLAHOMA,Tornado,EF0,0.1,10.0
201305,OKLAHOMA,Tornado,EF1,0.1,10.0
201306,ILLINOIS,Tornado,EF2,6.6,880.0
201306,GEORGIA,Tornado,EF1,2.36,100.0
201305,OKLAHOMA,Tornado,EF1,4.1,600.0
201305,OKLAHOMA,Tornado,EF0,0.2,50.0
201306,GEORGIA,Tornado,EF0,10.46,200.0
201306,SOUTH CAROLINA,Tornado,EF1,2.06,176.0
201306,NORTH CAROLINA,Tornado,EF1,1.88,100.0
201307,OHIO,Tornado,EF0,1.01,75.0
201306,MONTANA,Tornado,EF0,1.0,50.0
201305,OKLAHOMA,Tornado,EF0,0.5,250.0
201305,OKLAHOMA,Tornado,EF2,6.75,450.0
201306,COLORADO,Tornado,EF0,2.19,100.0
201306,ILLINOIS,Tornado,EF0,2.79,100.0
201307,OHIO,Tornado,EF0,0.63,175.0
201305,OKLAHOMA,Tornado,EF0,0.1,50.0
201306,SOUTH DAKOTA,Tornado,EF0,0.21,25.0
201306,SOUTH DAKOTA,Tornado,EF0,2.34,25.0
201306,SOUTH DAKOTA,Tornado,EF0,0.36,50.0
201306,SOUTH CAROLINA,Tornado,EF1,3.12,264.0
201306,FLORIDA,Tornado,EF0,1.87,50.0
201306,FLORIDA,Tornado,EF0,1.64,50.0
201306,FLORIDA,Tornado,EF0,1.91,10.0
201305,MISSOURI,Tornado,EF2,16.95,1760.0
201306,NEBRASKA,Tornado,EF0,0.72,33.0
201306,FLORIDA,Tornado,EF1,2.0,100.0
201305,OKLAHOMA,Tornado,EF0,0.5,50.0
201306,SOUTH DAKOTA,Tornado,EF0,0.37,50.0
201305,ILLINOIS,Tornado,EF3,8.63,150.0
201306,FLORIDA,Tornado,EF0,1.51,50.0
201306,FLORIDA,Tornado,EF0,0.26,30.0
201306,MINNESOTA,Tornado,EF0,0.01,5.0
201305,OKLAHOMA,Tornado,EF1,4.5,900.0
201305,OKLAHOMA,Tornado,EF1,0.54,200.0
201305,OKLAHOMA,Tornado,EF0,2.12,300.0
201305,MISSOURI,Tornado,EF0,0.53,30.0
201306,MINNESOTA,Tornado,EF0,0.5,50.0
201305,OKLAHOMA,Tornado,EF0,1.0,30.0
201305,OKLAHOMA,Tornado,EF0,0.35,30.0
201305,OKLAHOMA,Tornado,EF2,5.0,1000.0
201306,SOUTH DAKOTA,Tornado,EF0,0.09,10.0
201307,MISSOURI,Tornado,EF0,0.05,25.0
201305,MISSOURI,Tornado,EF0,1.06,40.0
201305,MISSOURI,Tornado,EF0,0.21,30.0
201308,PENNSYLVANIA,Tornado,EF0,0.22,75.0
201306,FLORIDA,Tornado,EF0,0.62,25.0
201306,IOWA,Tornado,EF0,0.67,30.0
201305,OKLAHOMA,Tornado,EF0,1.0,50.0
201305,OKLAHOMA,Tornado,EF0,0.47,50.0
201305,OKLAHOMA,Tornado,EF0,0.5,200.0
201305,OKLAHOMA,Tornado,EF1,4.0,200.0
201305,OKLAHOMA,Tornado,EF0,1.21,100.0
201305,OKLAHOMA,Tornado,EF2,0.84,1000.0
