MapDate,Region,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20210413,South,43.7,56.3,41.41,21.14,12.28,4.31,4/13/2021,4/19/2021,1
20210413,Southeast,88.28,11.72,1.57,0,0,0,4/13/2021,4/19/2021,1
20210413,West,35.63,64.37,47.85,38.93,28.14,14.91,4/13/2021,4/19/2021,1
20210406,High Plains,18.72,81.28,64.08,42.07,22.11,2.99,4/6/2021,4/12/2021,1
20210406,Midwest,52.66,47.34,10.82,1.4,0.23,0,4/6/2021,4/12/2021,1
20210406,Northeast,59.87,40.13,10.27,0,0,0,4/6/2021,4/12/2021,1
20210406,South,43.92,56.08,40.81,20.22,11.92,4.31,4/6/2021,4/12/2021,1
20210406,Southeast,86.68,13.32,1.57,0,0,0,4/6/2021,4/12/2021,1
20210406,West,33.81,66.19,46.72,37.87,27.49,14.64,4/6/2021,4/12/2021,1
20210330,High Plains,18.86,81.14,63.81,40.67,17.89,2.99,3/30/2021,4/5/2021,1
20210330,Midwest,53.15,46.85,11.55,1.05,0.21,0,3/30/2021,4/5/2021,1
20210330,Northeast,62.96,37.04,8.69,0,0,0,3/30/2021,4/5/2021,1
20210330,South,46.74,53.26,36.74,17.76,10.3,3.46,3/30/2021,4/5/2021,1
20210330,Southeast,86.4,13.6,0.51,0,0,0,3/30/2021,4/5/2021,1
20210330,West,32.06,67.94,46.19,37.19,26.43,14.54,3/30/2021,4/5/2021,1
20210323,High Plains,18.14,81.86,63.87,40.76,14.1,3.09,3/23/2021,3/29/2021,1
20210323,Midwest,48.33,51.67,12.74,1.13,0.21,0,3/23/2021,3/29/2021,1
20210323,Northeast,70.01,29.99,4.74,0,0,0,3/23/2021,3/29/2021,1
20210323,South,44.19,55.81,36.78,18.73,10.32,3.49,3/23/2021,3/29/2021,1
20210323,Southeast,82.25,17.75,0.33,0,0,0,3/23/2021,3/29/2021,1
20210323,West,32.95,67.05,45.63,37.22,26.45,14.54,3/23/2021,3/29/2021,1
20210316,High Plains,12.36,87.64,65.83,43.63,14.04,3.09,3/16/2021,3/22/2021,1
20210316,Midwest,48.06,51.94,10.99,1.09,0.21,0,3/16/2021,3/22/2021,1
20210316,Northeast,74.47,25.53,3.9,0,0,0,3/16/2021,3/22/2021,1
20210316,South,40.66,59.34,39.36,19.24,9.41,3.15,3/16/2021,3/22/2021,1
20210316,Southeast,81.78,18.22,1.42,0,0,0,3/16/2021,3/22/2021,1
20210316,West,32.44,67.56,45.75,36.57,26.2,14.32,3/16/2021,3/22/2021,1
20210309,High Plains,4.91,95.09,83.96,54.93,18.73,3.25,3/9/2021,3/15/2021,1
20210309,Midwest,46.93,53.07,11.59,1.24,0.33,0,3/9/2021,3/15/2021,1
20210309,Northeast,76.22,23.78,3.9,0,0,0,3/9/2021,3/15/2021,1
20210309,South,41.45,58.55,35.49,17.01,9.34,3.08,3/9/2021,3/15/2021,1
20210309,Southeast,85.85,14.15,1.61,0,0,0,3/9/2021,3/15/2021,1
20210309,West,32.6,67.4,45.88,36.57,26.21,14.32,3/9/2021,3/15/2021,1
20210302,High Plains,7.4,92.6,82.6,52.98,18.77,3.25,3/2/2021,3/8/2021,1
20210302,Midwest,59.17,40.83,10.83,1.24,0.33,0,3/2/2021,3/8/2021,1
20210302,Northeast,81.84,18.16,3.9,0,0,0,3/2/2021,3/8/2021,1
20210302,South,50.67,49.33,30.13,15.93,8.76,2.53,3/2/2021,3/8/2021,1
20210302,Southeast,90.43,9.57,1.61,0,0,0,3/2/2021,3/8/2021,1
20210302,West,37.59,62.41,48.1,36.27,26.49,14.35,3/2/2021,3/8/2021,1
20210223,High Plains,7.42,92.58,82.39,53.06,19.24,3.25,2/23/2021,3/1/2021,1
20210223,Midwest,57.44,42.56,8.63,1.18,0.33,0,2/23/2021,3/1/2021,1
20210223,Northeast,81.84,18.16,3.9,0,0,0,2/23/2021,3/1/2021,1
20210223,South,47.33,52.67,29.24,14.88,8.26,2.16,2/23/2021,3/1/2021,1
20210223,Southeast,91.02,8.98,0.73,0,0,0,2/23/2021,3/1/2021,1
20210223,West,35.9,64.1,47.36,36.48,26.59,14.35,2/23/2021,3/1/2021,1
20210216,High Plains,7.42,92.58,82.38,47.67,20.07,3.63,2/16/2021,2/22/2021,1
20210216,Midwest,57.44,42.56,8.96,1.45,0.4,0,2/16/2021,2/22/2021,1
20210216,Northeast,81.84,18.16,3.9,0,0,0,2/16/2021,2/22/2021,1
20210216,South,47.36,52.64,26.04,14.86,8.06,2.64,2/16/2021,2/22/2021,1
20210216,Southeast,85.63,14.37,1.04,0,0,0,2/16/2021,2/22/2021,1
20210216,West,35.8,64.2,47.55,36.84,27.05,13.51,2/16/2021,2/22/2021,1
20210209,High Plains,6.92,93.08,83.54,51.61,25.48,5.07,2/9/2021,2/15/2021,1
20210209,Midwest,63.14,36.86,9.45,1.83,0.4,0,2/9/2021,2/15/2021,1
20210209,Northeast,81.84,18.16,3.9,0,0,0,2/9/2021,2/15/2021,1
20210209,South,43.16,56.84,27.76,15.92,9.2,2.81,2/9/2021,2/15/2021,1
20210209,Southeast,82.69,17.31,1.82,0,0,0,2/9/2021,2/15/2021,1
20210209,West,35.66,64.34,47.72,37.21,27.51,14.23,2/9/2021,2/15/2021,1
20210202,High Plains,6.92,93.08,83.54,51.83,25.89,5.07,2/2/2021,2/8/2021,1
20210202,Midwest,62.33,37.67,9.83,1.83,0.4,0,2/2/2021,2/8/2021,1
20210202,Northeast,81.51,18.49,4.6,0,0,0,2/2/2021,2/8/2021,1
20210202,South,49.15,50.85,26.15,15.14,8.86,2.76,2/2/2021,2/8/2021,1
20210202,Southeast,78.08,21.92,1.2,0,0,0,2/2/2021,2/8/2021,1
20210202,West,35.09,64.91,47.87,37.79,27.51,14.22,2/2/2021,2/8/2021,1
20210126,High Plains,6.65,93.35,85.76,51.74,25.51,5.09,1/26/2021,2/1/2021,1
20210126,Midwest,59.72,40.28,10.83,1.91,0.4,0,1/26/2021,2/1/2021,1
20210126,Northeast,79.64,20.36,4.6,0,0,0,1/26/2021,2/1/2021,1
20210126,South,54.86,45.14,25.05,14.79,8.54,2.66,1/26/2021,2/1/2021,1
20210126,Southeast,86.65,13.35,0.38,0,0,0,1/26/2021,2/1/2021,1
20210126,West,37.87,62.13,47.86,39.89,29.12,14.59,1/26/2021,2/1/2021,1
20210119,High Plains,5.26,94.74,82.33,49.67,25.61,5.71,1/19/2021,1/25/2021,1
20210119,Midwest,56.82,43.18,10.97,2.19,0.4,0,1/19/2021,1/25/2021,1
20210119,Northeast,79.16,20.84,3.83,0,0,0,1/19/2021,1/25/2021,1
20210119,South,49.07,50.93,26.89,17.43,10.12,3.07,1/19/2021,1/25/2021,1
20210119,Southeast,90.35,9.65,0.05,0,0,0,1/19/2021,1/25/2021,1
20210119,West,38.37,61.63,46.52,39.44,28.86,15.03,1/19/2021,1/25/2021,1
